"","player_name","batter"
"205","Fox, Lucius",665650
"206","Fraley, Jake",641584
"207","France, Ty",664034
"208","Franco, Maikel",596748
"209","Franco, Wander",677551
"210","Frazier, Adam",624428
"211","Frazier, Jackson",640449
"212","Freeman, Freddie",518692
"213","Freeman, Tyler",671289
"214","Friedl, TJ",670770
"215","Gallagher, Cam",595956
"216","Gallo, Joey",608336
"217","Gamel, Ben",592325
"218","García, Adolis",666969
"219","Garcia, Aramis",605244
"220","García, Avisaíl",541645
"221","Garcia, Dermis",660650
"222","Garcia, Leury",544725
"223","García, Luis",671277
"224","Garcia, Maikel",672580
"225","Garlick, Kyle",664247
"226","Garneau, Dustin",572863
"227","Garrett, Stone",656448
"228","Garver, Mitch",641598
"229","Giménez, Andrés",665926
"230","Godoy, José",608422
"231","Goldschmidt, Paul",502671
"232","Gomes, Yan",543228
"233","González, Erik",570481
"234","González, Luis",670768
"235","Gonzalez, Marwin",503556
"236","Gonzalez, Oscar",660757
"237","Gonzalez, Romy",663853
"238","Goodrum, Niko",592348
"239","Gordon, Nick",624503
"240","Gore, Terrance",605253
"241","Gorman, Nolan",669357
"242","Gosselin, Phil",594838
"243","Grandal, Yasmani",518735
"244","Greene, Riley",682985
"245","Gregorius, Didi",544369
"246","Greiner, Grayson",606988
"247","Grichuk, Randal",545341
"248","Grisham, Trent",663757
"249","Grissom, Vaughn",687093
"250","Groshans, Jordan",677954
"251","Grossman, Robbie",543257
"252","Guerrero Jr., Vladimir",665489
"253","Guillorme, Luis",641645
"254","Gurriel Jr., Lourdes",666971
"255","Gurriel, Yuli",493329
"256","Guthrie, Dalton",656495
"257","Gutiérrez, Kelvin",642721
"258","Guzmán, Ronald",608597
"259","Haase, Eric",606992
"260","Hager, Jake",606993
"261","Haggerty, Sam",664059
"262","Hall, Darick",669742
"263","Hamilton, Billy",571740
"264","Hamilton, Caleb",643348
"265","Hampson, Garrett",641658
"266","Haniger, Mitch",571745
"267","Happ, Ian",664023
"268","Harper, Bryce",547180
"269","Harris II, Michael",671739
"270","Harrison, Josh",543281
"271","Harrison, Monte",656509
"272","Haseley, Adam",656514
"273","Hayes, Ke'Bryan",663647
"274","Hays, Austin",669720
"275","Hedges, Austin",595978
"276","Heim, Jonah",641680
"277","Heineman, Tyler",623168
"278","Henderson, Gunnar",683002
"279","Henry, Payton",668721
"280","Hensley, David",682073
"281","Heredia, Guillermo",628338
"282","Hermosillo, Michael",641684
"283","Hernández, César",514917
"284","Hernandez, Elier",609274
"285","Hernández, Enrique",571771
"286","Hernández, Teoscar",606192
"287","Hernandez, Yadiel",628450
"288","Hernandez, Yonny",660634
"289","Herrera, Iván",671056
"290","Herrera, Jose",645444
"291","Herrera, Odúbel",546318
"292","Heyward, Jason",518792
"293","Hicklen, Brewer",676551
"294","Hicks, Aaron",543305
"295","Higashioka, Kyle",543309
"296","Higgins, P.J.",664731
"297","Hill, Derek",656537
"298","Hilliard, Sam",656541
"299","Hiura, Keston",669374
"300","Hoerner, Nico",663538
"301","Hoskins, Rhys",656555
"302","Hosmer, Eric",543333
"303","Huff, Sam",669087
"304","Hummel, Cooper",669450
"305","Ibáñez, Andy",628451
"306","Iglesias, José",578428
"307","Inciarte, Ender",542255
"308","India, Jonathan",663697
"309","Isbel, Kyle",664728
"310","Jackson, Alex",656577
"311","Jackson, Drew",623515
"312","Jankowski, Travis",608671
"313","Jansen, Danny",643376
"314","Jeffers, Ryan",680777
"315","Jiménez, Eloy",650391
"316","Joe, Connor",656582
"317","Johnson, Bryce",669369
"318","Jones, Nolan",666134
"319","Jones, Taylor",622100
"320","Judge, Aaron",592450
"321","Jung, Josh",673962
"322","Katoh, Gosuke",641741
"323","Kelenic, Jarred",672284
"324","Kelly, Carson",608348
"325","Kemp, Tony",643393
"326","Kennedy, Buddy",671083
"327","Kepler, Max",596146
"328","Kiermaier, Kevin",595281
"329","Kim, Ha-Seong",673490
"330","Kiner-Falefa, Isiah",643396
"331","Kirilloff, Alex",666135
"332","Kirk, Alejandro",672386
"333","Knapp, Andrew",595284
"334","Knizner, Andrew",668800
"335","Kolozsvary, Mark",656627
"336","Kreidler, Ryan",668952
"337","Krizan, Jason",607249
"338","Kwan, Steven",680757
"339","La Stella, Tommy",600303
"340","Lagares, Juan",501571
"341","Lamb, Jake",571875
"342","Langeliers, Shea",669127
"343","Larnach, Trevor",663616
"344","Larsen, Jack",677223
"345","Laureano, Ramón",657656
"346","Lavastida, Bryan",681526
"347","Leblanc, Charles",641779
"348","Lee, Khalil",666137
"349","Lee, Korey",686676
"350","LeMahieu, DJ",518934
"351","Leon, Sandy",506702
"352","Lester, Josh",623507
"353","Lewis, Kyle",641786
"354","Lewis, Royce",668904
"355","Liberato, Luis",642451
"356","Lindor, Francisco",596019
"357","Locastro, Tim",641796
"358","Longoria, Evan",446334
"359","Lopes, Christian",547173
"360","Lopez, Alejo",664670
"361","Lopez, Nicky",670032
"362","Lopez, Otto",672640
"363","Lowe, Brandon",664040
"364","Lowe, Josh",666139
"365","Lowe, Nathaniel",663993
"366","Lowrie, Jed",476704
"367","Luplow, Jordan",656669
"368","Lux, Gavin",666158
"369","Machado, Dixon",553988
"370","Machado, Manny",592518
"371","Machín, Vimael",605353
"372","MacKinnon, David",676950
"373","Madrigal, Nick",663611
"374","Madris, Bligh",676632
"375","Maile, Luke",571912
"376","Maldonado, Martín",455117
"377","Mancini, Trey",641820
"378","Marcano, Tucupita",672779
"379","Margot, Manuel",622534
"380","Marisnick, Jake",545350
"381","Marrero, Deven",571918
"382","Marsh, Brandon",669016
"383","Marte, Ketel",606466
"384","Marte, Starling",516782
"385","Martin, Richie",621006
"386","Martinez, J.D.",502110
"387","Massey, Michael",686681
"388","Mastrobuoni, Miles",670156
"389","Mateo, Jorge",622761
"390","Mathias, Mark",664029
"391","Matijevic, J.J.",656695
"392","Maton, Nick",665155
"393","Mayfield, Jack",608686
"394","Mazara, Nomar",608577
"395","Mazeika, Patrick",664850
"396","McCann, James",543510
"397","McCarthy, Jake",664983
"398","McCormick, Chas",676801
"399","McCutchen, Andrew",457705
"400","McDonald, Mickey",676782
"401","McGuire, Reese",624512
"402","McKenna, Ryan",663630
"403","McKinney, Billy",641856
"404","McKinstry, Zach",656716
"405","McMahon, Ryan",641857
"406","McNeil, Jeff",643446
"407","Meadows, Austin",640457
"408","Mejía, Francisco",642336
"409","Melendez, MJ",669004
"410","Mendick, Danny",664901
"411","Meneses, Joey",608841
"412","Mercado, Oscar",640458
"413","Mercedes, Yermín",606213
"414","Merrifield, Whit",593160
"415","Meyers, Jake",676694
"416","Miller, Brad",543543
"417","Miller, Owen",680911
"418","Miranda, Jose",669304
"419","Mitchell, Cal",668751
"420","Mitchell, Garrett",669003
"421","Molina, Yadier",425877
"422","Moncada, Yoán",660162
"423","Mondesi, Adalberto",609275
"424","Mondou, Nate",670148
"425","Moniak, Mickey",666160
"426","Montero, Elehuris",660707
"427","Moore, Dylan",664238
"428","Moran, Colin",592567
"429","Morel, Christopher",666624
"430","Moreno, Gabriel",672515
"431","Motter, Taylor",600301
"432","Mountcastle, Ryan",663624
"433","Moustakas, Mike",519058
"434","Mullins, Cedric",656775
"435","Muncy, Max",571970
"436","Munoz, Yairo",622168
"437","Murphy, Sean",669221
"438","Murphy, Tom",608596
"439","Muzziotti, Símon",665922
"440","Myers, Wil",571976
"441","Naquin, Tyler",571980
"442","Narváez, Omar",553882
"443","Naylor, Bo",666310
"444","Naylor, Josh",647304
"445","Neuse, Sheldon",641914
"446","Nevin, Tyler",663527
"447","Newman, Kevin",621028
"448","Nido, Tomás",621512
"449","Nimmo, Brandon",607043
"450","Nola, Austin",543592
"451","Nootbaar, Lars",663457
"452","Nuñez, Dom",624513
"453","O'Hearn, Ryan",656811
"454","O'Hoppe, Logan",681351
"455","O'Keefe, Brian",657247
"456","O'Neill, Tyler",641933
"457","Odor, Rougned",596059
"458","Ohtani, Shohei",660271
"459","Okey, Chris",608360
"460","Olivares, Edward",658668
"461","Olson, Matt",621566
"462","Ortega, Rafael",542364
"463","Outman, James",681546
"464","Owings, Chris",572008
"465","Ozuna, Marcell",542303
"466","Pache, Cristian",665506
"467","Padlo, Kevin",656821
"468","Palacios, Jermaine",650339
"469","Palacios, Josh",641943
"470","Palacios, Richie",680700
"471","Papierski, Michael",657709
"472","Paredes, Isaac",670623
"473","Park, Hoy",660829
"474","Pasquantino, Vinnie",686469
"475","Payton, Mark",592622
"476","Pederson, Joc",592626
"477","Peguero, Liover",678894
"478","Peña, Jeremy",665161
"479","Peralta, David",444482
"480","Peraza, Oswald",672724
"481","Perdomo, Geraldo",672695
"482","Pérez, Carlos",656024
"483","Perez, Joe",669309
"484","Perez, Michael",605421
"485","Perez, Roberto",547379
"486","Perez, Salvador",521692
"487","Peterson, Jace",607054
"488","Pham, Tommy",502054
"489","Phillips, Brett",621433
"490","Phillips, Evan",623465
"491","Pillar, Kevin",607680
"492","Piña, Manny",444489
"493","Pinder, Chad",640461
"494","Pineda, Israel",672832
"495","Pinto, René",650907
"496","Piscotty, Stephen",572039
"497","Plawecki, Kevin",608700
"498","Plummer, Nick",663911
"499","Polanco, Jorge",593871
"500","Pollock, AJ",572041
"501","Pratto, Nick",668472
"502","Proctor, Ford",665154
"503","Profar, Jurickson",595777
"504","Pujols, Albert",405395
"505","Quinn, Roman",596451
"506","Quiroz, Esteban",606019
"507","Raleigh, Cal",663728
"508","Raley, Luke",670042
"509","Ramírez, Harold",623912
"510","Ramírez, José",608070
"511","Ramos, Heliot",671218
"512","Realmuto, J.T.",592663
"513","Refsnyder, Rob",608701
"514","Reks, Zach",676646
"515","Rendon, Anthony",543685
"516","Renfroe, Hunter",592669
"517","Rengifo, Luis",650859
"518","Reyes, Franmil",614177
"519","Reyes, Pablo",622569
"520","Reyes, Victor",622682
"521","Reynolds, Bryan",668804
"522","Reynolds, Matt",608703
"523","Riddle, JT",595375
"524","Riley, Austin",663586
"525","Ríos, Edwin",621458
"526","Rivas, Alfonso",663845
"527","Rivera, Emmanuel",656896
"528","Rivero, Sebastian",665861
"529","Rizzo, Anthony",519203
"530","Robert Jr., Luis",673357
"531","Robertson, David",502085
"532","Robertson, Kramer",670298
"533","Robinson, Chuckie",642020
"534","Robles, Victor",645302
"535","Rodgers, Brendan",663898
"536","Rodríguez, Julio",677594
"537","Rojas, Jose",670351
"538","Rojas, Josh",668942
"539","Rojas, Miguel",500743
"540","Romine, Austin",519222
"541","Rooker, Brent",667670
"542","Rosario, Amed",642708
"543","Rosario, Eddie",592696
"544","Rosario, Eguy",666703
"545","Ruf, Darin",573131
"546","Ruiz, Esteury",665923
"547","Ruiz, Keibert",660688
"548","Rutschman, Adley",668939
"549","Sanchez, Carlos",570560
"550","Sanchez, Gary",596142
"551","Sánchez, Jesús",660821
"552","Sands, Donny",664848
"553","Sanmartin, Reiver",665665
"554","Sanó, Miguel",593934
"555","Santana, Carlos",467793
"556","Santander, Anthony",623993
"557","Schoop, Jonathan",570731
"558","Schrock, Max",621011
"559","Schwarber, Kyle",656941
"560","Schwindel, Frank",643524
"561","Seager, Corey",608369
"562","Segura, Jean",516416
"563","Semien, Marcus",543760
"564","Senzel, Nick",669222
"565","Serven, Brian",661531
"566","Severino, Pedro",600474
"567","Shaw, Travis",543768
"568","Sheets, Gavin",657757
"569","Short, Zack",670097
"570","Siani, Michael",672279
"571","Sierra, Magneuris",642423
"572","Simmons, Andrelton",592743
"573","Siri, Jose",642350
"574","Slater, Austin",596103
"575","Smith-Njigba, Canaan",675986
"576","Smith, Dominic",642086
"577","Smith, Josh H.",669701
"578","Smith, Kevin",675656
"579","Smith, Pavin",656976
"580","Smith, Will",669257
"581","Solak, Nick",669256
"582","Solano, Donovan",456781
"583","Soler, Jorge",624585
"584","Sosa, Edmundo",624641
"585","Sosa, Lenyn",672820
"586","Soto, Juan",665742
"587","Soto, Livan",670869
"588","Souza Jr., Steven",519306
